 # psi_normal -- rmin=(Rmax-Rmin)/2 -- rmaj=(Rmax+Rmin)/2 -- rmin/rmaj
 0.0000000000000E+00  0.0000000000000E+00  0.1724933709000E+01  0.0000000000000E+00 
 0.7812500000000E-02  0.3764908765275E-01  0.1724825069078E+01  0.2182777159708E-01 
 0.1562500000000E-01  0.5331645421468E-01  0.1724732368585E+01  0.3091288549216E-01 
 0.2343750000000E-01  0.6539485656283E-01  0.1724619488899E+01  0.3791842605499E-01 
 0.3125000000000E-01  0.7561104766350E-01  0.1724521266255E+01  0.4384465946754E-01 
 0.3906250000000E-01  0.8464003467965E-01  0.1724420541285E+01  0.4908317469740E-01 
 0.4687500000000E-01  0.9285043709301E-01  0.1724304544231E+01  0.5384804987245E-01 
 0.5468750000000E-01  0.1004367058979E+00  0.1724204782590E+01  0.5825103080104E-01 
 0.6250000000000E-01  0.1075255964888E+00  0.1724092257827E+01  0.6236649808074E-01 
 0.7031250000000E-01  0.1142231694261E+00  0.1723980654351E+01  0.6625548212379E-01 
 0.7812500000000E-01  0.1205935040037E+00  0.1723866995677E+01  0.6995522526163E-01 
 0.8593750000000E-01  0.1266822506535E+00  0.1723754624242E+01  0.7349204397886E-01 
 0.9375000000000E-01  0.1325302843969E+00  0.1723642341962E+01  0.7688966624364E-01 
 0.1015625000000E+00  0.1381743486777E+00  0.1723525830494E+01  0.8016958390357E-01 
 0.1093750000000E+00  0.1436370385766E+00  0.1723409204740E+01  0.8334470895339E-01 
 0.1171875000000E+00  0.1489309079662E+00  0.1723289930723E+01  0.8642243264528E-01 
 0.1250000000000E+00  0.1540859227933E+00  0.1723165661252E+01  0.8942026077828E-01 
 0.1328125000000E+00  0.1591087878590E+00  0.1723048182097E+01  0.9234146178392E-01 
 0.1406250000000E+00  0.1640141719851E+00  0.1722920227300E+01  0.9519545326953E-01 
 0.1484375000000E+00  0.1688131530438E+00  0.1722796649278E+01  0.9798785777450E-01 
 0.1562500000000E+00  0.1735144366810E+00  0.1722668588797E+01  0.1007242123119E+00 
 0.1640625000000E+00  0.1781300729422E+00  0.1722538276321E+01  0.1034113873641E+00 
 0.1718750000000E+00  0.1826587179087E+00  0.1722408493561E+01  0.1060484307826E+00 
 0.1796875000000E+00  0.1871169167546E+00  0.1722276867821E+01  0.1086450850329E+00 
 0.1875000000000E+00  0.1915037087003E+00  0.1722138947809E+01  0.1112010787190E+00 
 0.1953125000000E+00  0.1958255000482E+00  0.1722005228849E+01  0.1137194572743E+00 
 0.2031250000000E+00  0.2000876602836E+00  0.1721866629669E+01  0.1162039247616E+00 
 0.2109375000000E+00  0.2042953372495E+00  0.1721724827718E+01  0.1186573684485E+00 
 0.2187500000000E+00  0.2084527305403E+00  0.1721583034042E+01  0.1210820079069E+00 
 0.2265625000000E+00  0.2125587598549E+00  0.1721439127300E+01  0.1234773605897E+00 
 0.2343750000000E+00  0.2166206219118E+00  0.1721292316661E+01  0.1258476667880E+00 
 0.2421875000000E+00  0.2206422061360E+00  0.1721143904058E+01  0.1281950949109E+00 
 0.2500000000000E+00  0.2246251100949E+00  0.1720993053777E+01  0.1305206372576E+00 
 0.2578125000000E+00  0.2285688478947E+00  0.1720839067625E+01  0.1328240694873E+00 
 0.2656250000000E+00  0.2324783161014E+00  0.1720684260033E+01  0.1351080622409E+00 
 0.2734375000000E+00  0.2363565240848E+00  0.1720527396528E+01  0.1373744612040E+00 
 0.2812500000000E+00  0.2402051736488E+00  0.1720368297582E+01  0.1396242734689E+00 
 0.2890625000000E+00  0.2440240004357E+00  0.1720204914228E+01  0.1418575184953E+00 
 0.2968750000000E+00  0.2478168816137E+00  0.1720039428512E+01  0.1440762795932E+00 
 0.3046875000000E+00  0.2515852884100E+00  0.1719871775599E+01  0.1462814216615E+00 
 0.3125000000000E+00  0.2553297477602E+00  0.1719702767691E+01  0.1484731853418E+00 
 0.3203125000000E+00  0.2590527311550E+00  0.1719531209235E+01  0.1506531139207E+00 
 0.3281250000000E+00  0.2627544131030E+00  0.1719355905854E+01  0.1528214212127E+00 
 0.3359375000000E+00  0.2664370517741E+00  0.1719177806998E+01  0.1549793457603E+00 
 0.3437500000000E+00  0.2701020681613E+00  0.1718997080511E+01  0.1571277061628E+00 
 0.3515625000000E+00  0.2737505829664E+00  0.1718813643657E+01  0.1592671689433E+00 
 0.3593750000000E+00  0.2773836709248E+00  0.1718627415232E+01  0.1613983743460E+00 
 0.3671875000000E+00  0.2810023634396E+00  0.1718438315499E+01  0.1635219378579E+00 
 0.3750000000000E+00  0.2846076244166E+00  0.1718246238201E+01  0.1656384388274E+00 
 0.3828125000000E+00  0.2881994226042E+00  0.1718050741251E+01  0.1677479108646E+00 
 0.3906250000000E+00  0.2917798399531E+00  0.1717852170676E+01  0.1698515419044E+00 
 0.3984375000000E+00  0.2953497690968E+00  0.1717650428555E+01  0.1719498706994E+00 
 0.4062500000000E+00  0.2989100554875E+00  0.1717445434704E+01  0.1740434074047E+00 
 0.4140625000000E+00  0.3024615176564E+00  0.1717237107614E+01  0.1761326472130E+00 
 0.4218750000000E+00  0.3060049480757E+00  0.1717025364929E+01  0.1782180708136E+00 
 0.4296875000000E+00  0.3095411149840E+00  0.1716810124109E+01  0.1803001453900E+00 
 0.4375000000000E+00  0.3130707645197E+00  0.1716591300837E+01  0.1823793260323E+00 
 0.4453125000000E+00  0.3165946223975E+00  0.1716368809097E+01  0.1844560567167E+00 
 0.4531250000000E+00  0.3201131772752E+00  0.1716142344760E+01  0.1865306676061E+00 
