 # psi_normal -- trapped fr. (est.) -- trapped fr. -- 1.46*sqrt(eps) -- ???
 0.0000000000000E+00  0.0000000000000E+00  0.1780978216695E+00  0.0000000000000E+00  0.0000000000000E+00 
 0.7812500000000E-02  0.2835582344896E+00  0.2171300775951E+00  0.2832892504743E+00  0.1331638049179E+00 
 0.1562500000000E-01  0.3355111172362E+00  0.2561623335207E+00  0.3371192070216E+00  0.1585183876053E+00 
 0.2343750000000E-01  0.3698509424169E+00  0.2824612339984E+00  0.3733573134862E+00  0.1756942239517E+00 
 0.3125000000000E-01  0.3960967411580E+00  0.3027471885119E+00  0.4014629716696E+00  0.1889916590524E+00 
 0.3906250000000E-01  0.4175769602144E+00  0.3194821199050E+00  0.4247572334300E+00  0.2000138654374E+00 
 0.4687500000000E-01  0.4359267543974E+00  0.3339003785366E+00  0.4448820091328E+00  0.2095910006607E+00 
 0.5468750000000E-01  0.4520065557059E+00  0.3465714597396E+00  0.4626995715144E+00  0.2180339349575E+00 
 0.6250000000000E-01  0.4663541450568E+00  0.3579534742048E+00  0.4787500114388E+00  0.2256669423693E+00 
 0.7031250000000E-01  0.4793643707923E+00  0.3683118511044E+00  0.4934350217323E+00  0.2326506415934E+00 
 0.7812500000000E-01  0.4912881422502E+00  0.3778478498761E+00  0.5070080143026E+00  0.2391179235464E+00 
 0.8593750000000E-01  0.5023047981838E+00  0.3866869435019E+00  0.5196497855326E+00  0.2451392973369E+00 
 0.9375000000000E-01  0.5125599913423E+00  0.3949390072375E+00  0.5315087666095E+00  0.2507821807328E+00 
 0.1015625000000E+00  0.5221735598534E+00  0.4027025028020E+00  0.5427084456986E+00  0.2561200354052E+00 
 0.1093750000000E+00  0.5312279174005E+00  0.4100351651029E+00  0.5533323842227E+00  0.2611881532344E+00 
 0.1171875000000E+00  0.5397801703110E+00  0.4169814779178E+00  0.5634368997590E+00  0.2660036111182E+00 
 0.1250000000000E+00  0.5479083925869E+00  0.4236068241055E+00  0.5731051999326E+00  0.2706254776873E+00 
 0.1328125000000E+00  0.5556476386151E+00  0.4299208075628E+00  0.5823712818496E+00  0.2750397389421E+00 
 0.1406250000000E+00  0.5630414670561E+00  0.4359794528712E+00  0.5912804979642E+00  0.2793013663897E+00 
 0.1484375000000E+00  0.5701243271438E+00  0.4417902712681E+00  0.5998684321017E+00  0.2833994970447E+00 
 0.1562500000000E+00  0.5769243525179E+00  0.4473856979746E+00  0.6081639520367E+00  0.2873656125524E+00 
 0.1640625000000E+00  0.5834720948680E+00  0.4527864133545E+00  0.6161997105852E+00  0.2912098495297E+00 
 0.1718750000000E+00  0.5897772856257E+00  0.4579955391159E+00  0.6239834480501E+00  0.2949281274198E+00 
 0.1796875000000E+00  0.5958731400225E+00  0.4630427718845E+00  0.6315524052656E+00  0.2985484852273E+00 
 0.1875000000000E+00  0.6017672148758E+00  0.4679378363451E+00  0.6389126128016E+00  0.3020736335528E+00 
 0.1953125000000E+00  0.6074761857488E+00  0.4726819069864E+00  0.6460817732421E+00  0.3054985348811E+00 
 0.2031250000000E+00  0.6130142868241E+00  0.4772961944450E+00  0.6530749412955E+00  0.3088448488173E+00 
 0.2109375000000E+00  0.6183945603698E+00  0.4817879183952E+00  0.6599060263684E+00  0.3121147009911E+00 
 0.2187500000000E+00  0.6236280575891E+00  0.4861634910103E+00  0.6665867262698E+00  0.3153096883288E+00 
 0.2265625000000E+00  0.6287186712443E+00  0.4904308437947E+00  0.6731198081942E+00  0.3184377723629E+00 
 0.2343750000000E+00  0.6336801065311E+00  0.4945979992370E+00  0.6795208177800E+00  0.3215044423083E+00 
 0.2421875000000E+00  0.6385213355878E+00  0.4986703094250E+00  0.6857994977955E+00  0.3245122237570E+00 
 0.2500000000000E+00  0.6432481365837E+00  0.5026525313708E+00  0.6919616388928E+00  0.3274635259664E+00 
 0.2578125000000E+00  0.6478635606477E+00  0.5065472251204E+00  0.6980095856307E+00  0.3303574730640E+00 
 0.2656250000000E+00  0.6523766783968E+00  0.5103636913575E+00  0.7039536948531E+00  0.3332035923303E+00 
 0.2734375000000E+00  0.6567939571899E+00  0.5141066152623E+00  0.7098010940163E+00  0.3360065215385E+00 
 0.2812500000000E+00  0.6611200817102E+00  0.5177772173593E+00  0.7155566888137E+00  0.3387644238125E+00 
 0.2890625000000E+00  0.6653573439471E+00  0.5213787641855E+00  0.7212222864765E+00  0.3414789438851E+00 
 0.2968750000000E+00  0.6695124434822E+00  0.5249144410896E+00  0.7268056772287E+00  0.3441512528029E+00 
 0.3046875000000E+00  0.6735891752537E+00  0.5283933636522E+00  0.7323108826166E+00  0.3467918587636E+00 
 0.3125000000000E+00  0.6775901605443E+00  0.5318114957111E+00  0.7377404142154E+00  0.3493939778918E+00 
 0.3203125000000E+00  0.6815199488846E+00  0.5351728836144E+00  0.7430994755654E+00  0.3519610290082E+00 
 0.3281250000000E+00  0.6853805062638E+00  0.5384794302009E+00  0.7483898290586E+00  0.3544934358705E+00 
 0.3359375000000E+00  0.6891758550896E+00  0.5417372730174E+00  0.7536161153000E+00  0.3569970627373E+00 
 0.3437500000000E+00  0.6929089970391E+00  0.5449488704226E+00  0.7587816540871E+00  0.3594752491312E+00 
 0.3515625000000E+00  0.6965825089119E+00  0.5481122324402E+00  0.7638892414114E+00  0.3619232555101E+00 
 0.3593750000000E+00  0.7001988181921E+00  0.5512289061590E+00  0.7689415217303E+00  0.3643415235832E+00 
 0.3671875000000E+00  0.7037602137178E+00  0.5543043331190E+00  0.7739409985318E+00  0.3667352213239E+00 
